t,ref_x,ref_y,ref_z,sim_x,sim_y,sim_z,ref_vx,ref_vy,ref_vz,sim_vx,sim_vy,sim_vz,ref_thrust,ref_tx,ref_ty,ref_tz,ref_yaw,ref_ox,ref_oy,ref_oz,cmd_thrust,cmd_tx,cmd_ty,cmd_tz
0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.264870,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.264870,0.000000,-0.000000,-0.000000
0.001000,-0.000000,0.000000,1.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.264870,-0.000010,0.000026,0.000000,0.000000,-0.000298,0.000771,0.000000,0.264870,-0.000000,0.000000,0.000000
0.002000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264870,-0.000020,0.000051,0.000000,0.000000,-0.001187,0.003072,0.000000,0.264870,-0.000000,0.000000,0.000000
0.003000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264870,-0.000029,0.000076,0.000000,0.000000,-0.002660,0.006887,0.000000,0.264870,-0.000000,0.000001,0.000000
0.004000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264870,-0.000039,0.000100,0.000000,0.000000,-0.004712,0.012196,0.000000,0.264870,-0.000001,0.000002,0.000000
0.005000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264870,-0.000048,0.000125,0.000000,0.000000,-0.007336,0.018985,0.000000,0.264870,-0.000001,0.000003,0.000000
0.006000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264870,-0.000058,0.000149,0.000000,0.000000,-0.010525,0.027234,0.000000,0.264870,-0.000001,0.000004,0.000000
0.007000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264870,-0.000067,0.000173,0.000000,0.000000,-0.014274,0.036927,0.000000,0.264870,-0.000002,0.000005,0.000000
0.008000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264870,-0.000076,0.000196,0.000000,0.000000,-0.018575,0.048048,0.000000,0.264870,-0.000002,0.000006,0.000000
0.009000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264870,-0.000085,0.000219,0.000000,0.000000,-0.023423,0.060578,0.000001,0.264870,-0.000003,0.000008,0.000000
0.010000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.264871,-0.000094,0.000242,0.000000,0.000000,-0.028812,0.074502,0.000001,0.264871,-0.000004,0.000009,0.000000
0.011000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.264871,-0.000103,0.000265,0.000000,0.000000,-0.034735,0.089802,0.000001,0.264871,-0.000004,0.000011,0.000000
0.012000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.264871,-0.000111,0.000287,0.000000,0.000000,-0.041187,0.106462,0.000002,0.264871,-0.000005,0.000012,0.000000
0.013000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000002,0.000001,0.000000,0.000000,0.000000,0.000000,0.264871,-0.000120,0.000309,0.000000,0.000000,-0.048160,0.124464,0.000003,0.264872,-0.000005,0.000014,0.000000
0.014000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000002,0.000001,0.000000,0.000000,0.000000,0.000000,0.264872,-0.000128,0.000331,0.000000,0.000000,-0.055649,0.143794,0.000004,0.264872,-0.000006,0.000016,0.000000
0.015000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000003,0.000001,0.000000,0.000001,0.000000,0.000000,0.264872,-0.000137,0.000353,0.000000,0.000000,-0.063648,0.164433,0.000006,0.264872,-0.000007,0.000018,0.000000
0.016000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000004,0.000002,0.000000,0.000001,0.000000,0.000000,0.264873,-0.000145,0.000374,0.000000,0.000000,-0.072151,0.186367,0.000008,0.264873,-0.000008,0.000020,0.000000
0.017000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000005,0.000002,0.000001,0.000001,0.000000,0.000000,0.264873,-0.000153,0.000395,0.000001,0.000000,-0.081152,0.209577,0.000011,0.264873,-0.000008,0.000022,0.000000
0.018000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000006,0.000003,0.000001,0.000002,0.000001,0.000001,0.264874,-0.000161,0.000416,0.000001,0.000000,-0.090644,0.234049,0.000015,0.264874,-0.000009,0.000024,0.000000
0.019000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000008,0.000003,0.000001,0.000002,0.000001,0.000001,0.264875,-0.000169,0.000436,0.000001,0.000000,-0.100622,0.259766,0.000019,0.264875,-0.000010,0.000026,0.000000
0.020000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000010,0.000004,0.000001,0.000003,0.000001,0.000001,0.264875,-0.000177,0.000456,0.000001,0.000000,-0.111080,0.286711,0.000024,0.264875,-0.000011,0.000028,0.000000
0.021000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000012,0.000005,0.000001,0.000003,0.000001,0.000001,0.264876,-0.000185,0.000476,0.000001,0.000000,-0.122012,0.314870,0.000031,0.264876,-0.000012,0.000030,0.000000
0.022000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000014,0.000006,0.000001,0.000004,0.000002,0.000001,0.264877,-0.000193,0.000496,0.000001,0.000000,-0.133411,0.344225,0.000038,0.264877,-0.000012,0.000032,0.000000
0.023000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000017,0.000007,0.000002,0.000005,0.000002,0.000002,0.264878,-0.000200,0.000515,0.000002,0.000000,-0.145273,0.374762,0.000047,0.264878,-0.000013,0.000034,0.000000
